Dia de Dt;Point Order;Polygon Id;Score;dia_mes_ano;Dt;State_City;Lat;Lng
14/05/2020;5;88819996ebfffff;39,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,741927236;-35,22868417
14/05/2020;6;88819996ebfffff;39,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,747063865;-35,22774911
14/05/2020;1;88819996e1fffff;43,00%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,747165814;-35,2139541
14/05/2020;2;88819996e1fffff;43,00%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,743775458;-35,20997934
14/05/2020;3;88819996e1fffff;43,00%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,738639029;-35,21091445
14/05/2020;4;88819996e1fffff;43,00%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,736892856;-35,21582429
14/05/2020;5;88819996e1fffff;43,00%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,740283172;-35,21979913
14/05/2020;6;88819996e1fffff;43,00%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,745419701;-35,21886405
14/05/2020;1;88819996ddfffff;45,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,753742351;-35,24949589
14/05/2020;2;88819996ddfffff;45,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,750351955;-35,24552035
14/05/2020;3;88819996ddfffff;45,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,745215128;-35,24645535
14/05/2020;4;88819996ddfffff;45,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,743468599;-35,25136587
14/05/2020;5;88819996ddfffff;45,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,746858956;-35,25534149
14/05/2020;6;88819996ddfffff;45,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,751995882;-35,25440652
14/05/2020;1;88819996dbfffff;46,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,748502704;-35,264228
14/05/2020;2;88819996dbfffff;46,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,745112337;-35,26025217
14/05/2020;3;88819996dbfffff;46,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,739975301;-35,26118712
14/05/2020;4;88819996dbfffff;46,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,738228534;-35,26609786
14/05/2020;5;88819996dbfffff;46,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,741618862;-35,27007377
14/05/2020;6;88819996dbfffff;46,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,746755996;-35,26913885
14/05/2020;1;88819996d9fffff;47,30%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,755386288;-35,25838226
14/05/2020;2;88819996d9fffff;47,30%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,751995882;-35,25440652
14/05/2020;3;88819996d9fffff;47,30%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,746858956;-35,25534149
14/05/2020;4;88819996d9fffff;47,30%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,745112337;-35,26025217
14/05/2020;5;88819996d9fffff;47,30%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,748502704;-35,264228
14/05/2020;6;88819996d9fffff;47,30%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,753639729;-35,26329305
14/05/2020;1;88819996d7fffff;42,80%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,738331662;-35,25230084
14/05/2020;2;88819996d7fffff;42,80%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,734941354;-35,24832532
14/05/2020;3;88819996d7fffff;42,80%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,729804406;-35,24926029
14/05/2020;4;88819996d7fffff;42,80%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,728057668;-35,25417075
14/05/2020;5;88819996d7fffff;42,80%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,731447937;-35,25814635
14/05/2020;6;88819996d7fffff;42,80%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,736584983;-35,25721141
14/05/2020;1;88819996d5fffff;46,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,745215128;-35,24645535
14/05/2020;2;88819996d5fffff;46,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,741824781;-35,24247992
14/05/2020;3;88819996d5fffff;46,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,736687944;-35,24341492
14/05/2020;4;88819996d5fffff;46,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,734941354;-35,24832532
14/05/2020;5;88819996d5fffff;46,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,738331662;-35,25230084
14/05/2020;6;88819996d5fffff;46,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,743468599;-35,25136587
14/05/2020;1;88819996d3fffff;46,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,739975301;-35,26118712
14/05/2020;2;88819996d3fffff;46,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,736584983;-35,25721141
14/05/2020;3;88819996d3fffff;46,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,731447937;-35,25814635
14/05/2020;4;88819996d3fffff;46,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,729701109;-35,26305698
14/05/2020;5;88819996d3fffff;46,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,733091388;-35,26703277
14/05/2020;6;88819996d3fffff;46,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,738228534;-35,26609786
14/05/2020;1;88819996d1fffff;48,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,746858956;-35,25534149
14/05/2020;2;88819996d1fffff;48,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,743468599;-35,25136587
14/05/2020;3;88819996d1fffff;48,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,738331662;-35,25230084
14/05/2020;4;88819996d1fffff;48,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,736584983;-35,25721141
14/05/2020;5;88819996d1fffff;48,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,739975301;-35,26118712
14/05/2020;6;88819996d1fffff;48,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,745112337;-35,26025217
14/05/2020;1;88819996cdfffff;51,70%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,765863972;-35,22891906
14/05/2020;2;88819996cdfffff;51,70%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,762473507;-35,22494389
14/05/2020;3;88819996cdfffff;51,70%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,757337;-35,22587898
